operator_id,palette_type,role,rank,hex,lab_l,lab_a,lab_b,weight,notes
op-008,core,theme,1,#414A5C,31.4326,0.8759,-11.4473,0.116663,
op-008,core,accent_1,2,#687080,47.1875,0.5367,-9.4367,0.087213,
op-008,core,accent_2,3,#565D6B,39.3425,0.5762,-8.9301,0.101653,
op-008,core,dark,4,#111318,6.0155,0.3303,-3.4269,0.089113,
op-008,core,light,5,#F9EAE2,93.7420,3.8530,5.7267,0.104123,
op-008,core,neutral,6,#292828,16.1605,0.6307,0.1082,0.074102,
op-008,core,support_7,7,#19263B,15.0827,1.5620,-14.8958,0.076572,
op-008,core,support_8,8,#333944,23.6531,0.5655,-7.9280,0.108303,
op-008,categorical_anchor,theme,1,#414A5C,31.4326,0.8759,-11.4473,0.116663,
op-009,core,theme,1,#82636B,45.2276,13.6503,0.4440,0.181310,
op-009,core,accent_1,2,#6BA2BE,64.0239,-10.7568,-19.9006,0.012249,
op-009,core,accent_2,3,#DF9A84,69.7684,23.1991,21.8706,0.013912,
op-009,core,dark,4,#161218,6.1285,3.2035,-2.9610,0.089521,
op-009,core,light,5,#FBECDC,94.1819,2.4611,9.3562,0.040073,
op-009,core,neutral,6,#161218,6.1285,3.2035,-2.9610,0.089521,
op-009,core,support_7,7,#403035,21.8550,8.1594,-0.2177,0.239377,
op-009,core,support_8,8,#6D5259,37.9386,12.1223,0.5178,0.108423,
op-009,categorical_anchor,theme,1,#82636B,45.2276,13.6503,0.4440,0.181310,
op-010,core,theme,1,#F3E7DD,92.3857,2.4365,6.5606,0.093056,
op-010,core,accent_1,2,#F3E7DD,92.3857,2.4365,6.5606,0.093056,
op-010,core,accent_2,3,#141015,5.2323,2.6214,-1.9556,0.105968,
op-010,core,dark,4,#141015,5.2323,2.6214,-1.9556,0.105968,
op-010,core,light,5,#F3E7DD,92.3857,2.4365,6.5606,0.093056,
op-010,core,neutral,6,#777275,48.7199,2.5217,-0.9252,0.058259,
op-010,core,support_7,7,#262124,13.3467,3.6455,-1.5608,0.131003,
op-010,core,support_8,8,#383134,21.1659,3.4289,-0.7054,0.125964,
op-010,categorical_anchor,theme,1,#F3E7DD,92.3857,2.4365,6.5606,0.093056,
op-011,core,theme,1,#3E52B8,38.7733,25.9782,-56.6183,0.043218,
op-011,core,accent_1,2,#353C52,25.5635,3.4098,-14.5393,0.042283,
op-011,core,accent_2,3,#2C3D8C,28.7970,20.4424,-45.8025,0.046024,
op-011,core,dark,4,#25272B,15.5649,0.3255,-3.1017,0.052011,
op-011,core,light,5,#F3F4FB,96.2151,1.3698,-3.7008,0.136950,
op-011,core,neutral,6,#858383,55.0025,0.4167,0.2422,0.071843,
op-011,core,support_7,7,#C6C3CA,79.2409,2.2623,-3.0030,0.125912,
op-011,core,support_8,8,#EBE6EE,92.0108,2.9766,-3.0586,0.135641,
op-011,categorical_anchor,theme,1,#3E52B8,38.7733,25.9782,-56.6183,0.043218,
op-012,core,theme,1,#CB989F,67.7679,20.1176,3.8083,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-012,core,accent_1,2,#CB989F,67.7679,20.1176,3.8083,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-012,core,accent_2,3,#121116,5.3061,1.4897,-2.8800,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-012,core,dark,4,#121116,5.3061,1.4897,-2.8800,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-012,core,light,5,#FBEFE8,95.1901,2.8585,4.8212,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-012,core,neutral,6,#7F797D,51.4592,3.0654,-1.3659,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-012,core,support_7,7,#615A5F,39.0363,3.8338,-1.8562,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-012,core,support_8,8,#AEA5A4,68.4530,3.0589,1.6776,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-012,categorical_anchor,theme,1,#CB989F,67.7679,20.1176,3.8083,1.000000,curated_colorlist categorical anchor
op-013,core,theme,1,#63626E,42.1352,2.6990,-6.4960,0.138367,
op-013,core,accent_1,2,#63626E,42.1352,2.6990,-6.4960,0.138367,
op-013,core,accent_2,3,#1A1921,9.3370,2.8004,-5.3364,0.037934,
op-013,core,dark,4,#1A1921,9.3370,2.8004,-5.3364,0.037934,
op-013,core,light,5,#FAE7D8,92.6977,4.1910,9.4318,0.118497,
op-013,core,neutral,6,#BAB1B2,72.9650,3.1636,0.6306,0.039559,
op-013,core,support_7,7,#565662,36.9220,2.7475,-6.7985,0.139451,
op-013,core,support_8,8,#484956,31.4998,2.4599,-7.4907,0.113801,
op-013,categorical_anchor,theme,1,#63626E,42.1352,2.6990,-6.4960,0.138367,
op-014,core,theme,1,#D2C7A8,80.3910,-1.1850,16.9246,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-014,core,accent_1,2,#746C52,45.6994,-1.3346,15.7138,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-014,core,accent_2,3,#978E6F,59.0424,-1.8024,17.7616,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-014,core,dark,4,#252119,12.9302,0.2212,6.1155,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-014,core,light,5,#F6F0E9,95.0753,0.8095,4.0884,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-014,core,neutral,6,#C8C5C5,79.7520,1.0388,0.3678,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-014,core,support_7,7,#94908E,60.0650,1.0924,1.5824,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-014,core,support_8,8,#5A564E,36.7047,0.0375,5.2366,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-014,categorical_anchor,theme,1,#D2C7A8,80.3910,-1.1850,16.9246,1.000000,curated_colorlist categorical anchor
op-015,core,theme,1,#BFA576,68.9653,2.7962,27.8866,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-015,core,accent_1,2,#4A3117,22.7048,8.1995,20.8725,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-015,core,accent_2,3,#675644,37.7650,4.0205,13.0975,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-015,core,dark,4,#281A0F,10.7368,5.2652,9.6707,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-015,core,light,5,#F0DDCA,89.1601,3.4686,11.6826,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-015,core,neutral,6,#A39488,62.2914,3.4904,8.3580,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-015,core,support_7,7,#694D28,34.9328,7.1971,26.2618,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-015,core,support_8,8,#896C43,47.5590,6.0450,27.2196,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-015,categorical_anchor,theme,1,#BFA576,68.9653,2.7962,27.8866,1.000000,curated_colorlist categorical anchor
op-016,core,theme,1,#656D77,45.5639,-0.5076,-6.4884,0.098945,
op-016,core,accent_1,2,#656D77,45.5639,-0.5076,-6.4884,0.098945,
op-016,core,accent_2,3,#111318,5.8955,-0.0278,-3.1758,0.059283,
op-016,core,dark,4,#111318,5.8955,-0.0278,-3.1758,0.059283,
op-016,core,light,5,#EEE5DF,91.5278,1.7902,4.0979,0.083333,
op-016,core,neutral,6,#CECAC9,81.6220,1.4307,0.9943,0.035865,
op-016,core,support_7,7,#585D66,39.3689,-0.1120,-5.5153,0.114346,
op-016,core,support_8,8,#494F57,33.2691,-0.2681,-5.4082,0.117089,
op-016,categorical_anchor,theme,1,#656D77,45.5639,-0.5076,-6.4884,0.098945,
op-017,core,theme,1,#C9B3AE,74.7817,6.8654,5.8389,0.185603,
op-017,core,accent_1,2,#475116,32.4716,-13.5142,31.8006,0.042064,
op-017,core,accent_2,3,#707C31,49.5901,-16.0624,38.6920,0.020526,
op-017,core,dark,4,#14150D,6.5808,-2.3869,4.2560,0.088754,
op-017,core,light,5,#DDE3E5,89.8614,-1.4529,-1.8171,0.057965,
op-017,core,neutral,6,#373532,22.3200,0.1549,2.0402,0.120411,
op-017,core,support_7,7,#262620,14.8973,-1.4186,3.6522,0.146141,
op-017,core,support_8,8,#AB9789,63.8588,5.3799,9.9126,0.064325,
op-017,categorical_anchor,theme,1,#C9B3AE,74.7817,6.8654,5.8389,0.185603,
op-018,core,theme,1,#E2CFC6,84.4012,5.0382,6.5647,0.090876,
op-018,core,accent_1,2,#E2CFC6,84.4012,5.0382,6.5647,0.090876,
op-018,core,accent_2,3,#191110,5.9759,3.2603,2.1952,0.095754,
op-018,core,dark,4,#191110,5.9759,3.2603,2.1952,0.095754,
op-018,core,light,5,#F7E6DD,92.2998,4.5353,6.1594,0.091057,
op-018,core,neutral,6,#191110,5.9759,3.2603,2.1952,0.095754,
op-018,core,support_7,7,#8A7C78,53.2124,4.6317,4.3221,0.095393,
op-018,core,support_8,8,#9F908B,60.8608,4.7919,4.6275,0.093948,
op-018,categorical_anchor,theme,1,#E2CFC6,84.4012,5.0382,6.5647,0.090876,
op-019,core,theme,1,#6C736F,47.6549,-3.0170,1.0684,0.135070,
op-019,core,accent_1,2,#6C736F,47.6549,-3.0170,1.0684,0.135070,
op-019,core,accent_2,3,#131515,6.5292,-1.0154,-0.1863,0.045822,
op-019,core,dark,4,#131515,6.5292,-1.0154,-0.1863,0.045822,
op-019,core,light,5,#ECEEE9,93.9419,-1.6321,2.2182,0.047320,
op-019,core,neutral,6,#131515,6.5292,-1.0154,-0.1863,0.045822,
op-019,core,support_7,7,#F9E4D4,91.9469,4.4444,10.5693,0.066038,
op-019,core,support_8,8,#5C615D,40.6589,-3.0670,1.6838,0.128931,
op-019,categorical_anchor,theme,1,#6C736F,47.6549,-3.0170,1.0684,0.135070,
op-020,core,theme,1,#8F484A,39.5345,30.2158,12.7028,0.175063,
op-020,core,accent_1,2,#CEC5D9,80.7477,6.8540,-8.8532,0.071268,
op-020,core,accent_2,3,#B3A7B9,69.9350,7.6845,-7.6632,0.086341,
op-020,core,dark,4,#401A1D,14.8673,18.8256,6.7808,0.038212,
op-020,core,light,5,#FADAC9,89.1744,8.8726,12.3771,0.100225,
op-020,core,neutral,6,#E4DCEA,88.6884,5.4568,-5.9640,0.131165,
op-020,core,support_7,7,#7D3B3E,33.6692,28.9088,11.7568,0.155891,
op-020,core,support_8,8,#652C2F,26.2394,26.0186,10.6011,0.102869,
op-020,categorical_anchor,theme,1,#8F484A,39.5345,30.2158,12.7028,0.175063,
op-021,core,theme,1,#A55C5D,47.5534,30.0571,12.8016,0.020548,
op-021,core,accent_1,2,#C7BECF,78.2966,6.1501,-7.2291,0.133649,
op-021,core,accent_2,3,#AEA3B7,68.3664,7.8246,-8.8900,0.095539,
op-021,core,dark,4,#1F161B,8.7511,5.5967,-1.6631,0.031788,
op-021,core,light,5,#EEE8EA,92.4842,2.4469,-0.4242,0.094837,
op-021,core,neutral,6,#EEE8EA,92.4842,2.4469,-0.4242,0.094837,
op-021,core,support_7,7,#DDD5DC,86.1306,3.6919,-2.4784,0.195820,
op-021,core,support_8,8,#FBD8C8,88.8475,9.4588,12.3386,0.116790,
op-021,categorical_anchor,theme,1,#A55C5D,47.5534,30.0571,12.8016,0.020548,
op-022,core,theme,1,#A48B81,59.8739,7.9734,8.9698,0.059584,
op-022,core,accent_1,2,#A48B81,59.8739,7.9734,8.9698,0.059584,
op-022,core,accent_2,3,#181718,7.9351,0.5668,-0.5247,0.057430,
op-022,core,dark,4,#181718,7.9351,0.5668,-0.5247,0.057430,
op-022,core,light,5,#F2E7E4,92.3879,3.3495,2.8764,0.056569,
op-022,core,neutral,6,#9E9FA0,65.5599,-0.4234,-0.5634,0.078248,
op-022,core,support_7,7,#7C6E6D,47.5512,5.5985,2.4145,0.092319,
op-022,core,support_8,8,#5B5658,37.0202,2.5214,-0.2872,0.124480,
op-022,categorical_anchor,theme,1,#A48B81,59.8739,7.9734,8.9698,0.059584,
op-023,core,theme,1,#C44D39,48.6887,46.4088,36.1074,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-023,core,accent_1,2,#D1A192,70.2617,15.6405,14.6612,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-023,core,accent_2,3,#713D39,32.1336,22.2487,12.5158,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-023,core,dark,4,#382B28,18.8935,5.4363,4.2344,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-023,core,light,5,#F2E5DA,91.6753,2.5773,6.9368,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-023,core,neutral,6,#B8B0AC,72.3753,2.1277,3.0595,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-023,core,support_7,7,#9B635C,47.8370,21.7991,13.4046,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-023,core,support_8,8,#963E36,38.1946,36.4088,23.4336,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-023,categorical_anchor,theme,1,#C44D39,48.6887,46.4088,36.1074,1.000000,curated_colorlist categorical anchor
op-024,core,theme,1,#E3CAA0,82.4389,2.5653,24.2135,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-024,core,accent_1,2,#333549,22.7613,4.5021,-12.5972,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-024,core,accent_2,3,#636A86,45.1949,4.0163,-16.3263,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-024,core,dark,4,#2D1C1E,12.4947,8.7486,2.0197,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-024,core,light,5,#F1E1CD,90.3033,2.2259,11.7505,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-024,core,neutral,6,#B3A49F,68.4886,4.5657,4.5580,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-024,core,support_7,7,#99735A,51.5798,11.5241,19.6379,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-024,core,support_8,8,#653F30,30.7258,14.7407,16.0575,1.000000,curated_colorlist; auto_body_avatar_fixed_colorlist
op-024,categorical_anchor,theme,1,#E3CAA0,82.4389,2.5653,24.2135,1.000000,curated_colorlist categorical anchor
op-025,core,theme,1,#922F3E,34.9094,42.6869,14.1718,0.106731,
op-025,core,accent_1,2,#DBAAAE,74.0422,18.8171,4.8329,0.038733,
op-025,core,accent_2,3,#493E4D,27.7865,8.2460,-7.2444,0.112412,
op-025,core,dark,4,#22121A,7.7542,9.9718,-2.3747,0.101050,
op-025,core,light,5,#FBDFDA,90.8453,9.0378,6.0084,0.082286,
op-025,core,neutral,6,#22121A,7.7542,9.9718,-2.3747,0.101050,
op-025,core,support_7,7,#AF3E4E,43.0179,47.1363,15.6875,0.078671,
op-025,core,support_8,8,#6F2A38,27.7485,31.7367,6.9521,0.096230,
op-025,categorical_anchor,theme,1,#922F3E,34.9094,42.6869,14.1718,0.106731,
op-026,core,theme,1,#977063,50.7566,13.3046,13.2919,0.033929,
op-026,core,accent_1,2,#B99A95,66.1016,10.7655,6.8178,0.086561,
op-026,core,accent_2,3,#785346,38.8505,14.0246,13.7710,0.034426,
op-026,core,dark,4,#221F1F,11.9358,1.4931,0.6545,0.088878,
op-026,core,light,5,#E0DDDD,88.4235,0.8502,0.3561,0.042867,
op-026,core,neutral,6,#E0DDDD,88.4235,0.8502,0.3561,0.042867,
op-026,core,support_7,7,#312D2E,18.9997,1.9726,0.2685,0.158722,
op-026,core,support_8,8,#575355,35.6769,2.0764,-0.7856,0.126614,
op-026,categorical_anchor,theme,1,#977063,50.7566,13.3046,13.2919,0.033929,
op-027,core,theme,1,#87946E,59.3945,-11.6215,18.5905,1.000000,curated_colorlist; operator sage uniform
op-027,core,accent_1,2,#C6B44A,72.9869,-6.2416,54.8442,1.000000,curated_colorlist; device warm gold
op-027,core,accent_2,3,#B8C2AE,77.1789,-7.0952,8.8836,1.000000,curated_colorlist; cloak pale green gray
op-027,core,dark,4,#151D20,10.1255,-2.7115,-3.2555,1.000000,curated_colorlist; black inner suit
op-027,core,light,5,#E8EADF,92.2780,-2.5950,5.1013,1.000000,curated_colorlist; hair and cloak white
op-027,core,neutral,6,#70766A,48.8124,-4.6646,5.8350,1.000000,curated_colorlist; uniform gray green
op-027,core,support_7,7,#3E5648,34.2879,-12.4593,5.2301,1.000000,curated_colorlist; deep uniform green
op-027,core,support_8,8,#A08E52,59.3701,-1.5745,34.2671,1.000000,curated_colorlist; trim muted gold
op-027,categorical_anchor,theme,1,#87946E,59.3945,-11.6215,18.5905,1.000000,curated_colorlist categorical anchor
op-028,core,theme,1,#9B7543,52.0301,8.9218,33.3007,0.013581,
op-028,core,accent_1,2,#F5D8BF,87.9599,6.3129,15.8250,0.092723,
op-028,core,accent_2,3,#CCB7A9,75.8772,4.6998,10.1588,0.033032,
op-028,core,dark,4,#150E0C,4.4519,2.2261,1.7114,0.109155,
op-028,core,light,5,#F3EEE8,94.2136,0.8479,3.3747,0.034373,
op-028,core,neutral,6,#150E0C,4.4519,2.2261,1.7114,0.109155,
op-028,core,support_7,7,#4E4747,30.9548,2.9257,1.1048,0.185614,
